flight_idx,assignment,gate_name
148918,0,EWR_Terminal_A
148919,3,LGA_Terminal_B
148920,3,LGA_Terminal_B
148921,0,EWR_Terminal_A
148922,3,LGA_Terminal_B
148923,0,EWR_Terminal_A
148924,4,LGA_Terminal_C
148925,4,LGA_Terminal_C
148926,0,EWR_Terminal_A
148927,0,EWR_Terminal_A
148928,3,LGA_Terminal_B
148929,3,LGA_Terminal_B
148930,3,LGA_Terminal_B
148931,3,LGA_Terminal_B
148932,3,LGA_Terminal_B
148933,3,LGA_Terminal_B
148934,0,EWR_Terminal_A
148935,0,EWR_Terminal_A
148936,3,LGA_Terminal_B
148937,0,EWR_Terminal_A
148938,3,LGA_Terminal_B
148939,3,LGA_Terminal_B
148940,4,LGA_Terminal_C
148941,0,EWR_Terminal_A
148942,0,EWR_Terminal_A
148943,3,LGA_Terminal_B
148944,3,LGA_Terminal_B
148945,3,LGA_Terminal_B
148946,4,LGA_Terminal_C
148947,0,EWR_Terminal_A
148948,0,EWR_Terminal_A
148949,3,LGA_Terminal_B
148950,3,LGA_Terminal_B
148951,0,EWR_Terminal_A
148952,3,LGA_Terminal_B
148953,1,EWR_Terminal_B
148954,3,LGA_Terminal_B
148955,4,LGA_Terminal_C
148956,4,LGA_Terminal_C
148957,0,EWR_Terminal_A
148958,3,LGA_Terminal_B
148959,0,EWR_Terminal_A
148960,3,LGA_Terminal_B
148961,3,LGA_Terminal_B
148962,3,LGA_Terminal_B
148963,3,LGA_Terminal_B
148964,3,LGA_Terminal_B
148965,3,LGA_Terminal_B
148966,0,EWR_Terminal_A
148967,0,EWR_Terminal_A
148968,3,LGA_Terminal_B
148969,0,EWR_Terminal_A
148970,0,EWR_Terminal_A
148971,0,EWR_Terminal_A
148972,0,EWR_Terminal_A
148973,0,EWR_Terminal_A
148974,0,EWR_Terminal_A
148975,0,EWR_Terminal_A
148976,0,EWR_Terminal_A
148977,0,EWR_Terminal_A
148978,3,LGA_Terminal_B
148979,3,LGA_Terminal_B
148980,3,LGA_Terminal_B
148981,3,LGA_Terminal_B
148982,3,LGA_Terminal_B
148983,3,LGA_Terminal_B
148984,0,EWR_Terminal_A
148985,3,LGA_Terminal_B
148986,0,EWR_Terminal_A
148987,3,LGA_Terminal_B
148988,3,LGA_Terminal_B
148989,0,EWR_Terminal_A
148990,3,LGA_Terminal_B
148991,0,EWR_Terminal_A
148992,4,LGA_Terminal_C
148993,3,LGA_Terminal_B
148994,0,EWR_Terminal_A
148995,3,LGA_Terminal_B
148996,4,LGA_Terminal_C
148997,0,EWR_Terminal_A
148998,0,EWR_Terminal_A
148999,3,LGA_Terminal_B
149000,3,LGA_Terminal_B
149001,3,LGA_Terminal_B
149002,1,EWR_Terminal_B
149003,0,EWR_Terminal_A
149004,4,LGA_Terminal_C
149005,0,EWR_Terminal_A
149006,3,LGA_Terminal_B
149007,3,LGA_Terminal_B
149008,3,LGA_Terminal_B
149009,3,LGA_Terminal_B
149010,0,EWR_Terminal_A
149011,4,LGA_Terminal_C
149012,0,EWR_Terminal_A
149013,3,LGA_Terminal_B
149014,0,EWR_Terminal_A
149015,3,LGA_Terminal_B
149016,3,LGA_Terminal_B
149017,0,EWR_Terminal_A
149018,0,EWR_Terminal_A
149019,0,EWR_Terminal_A
149020,0,EWR_Terminal_A
149021,3,LGA_Terminal_B
149022,0,EWR_Terminal_A
149023,0,EWR_Terminal_A
149024,3,LGA_Terminal_B
149025,0,EWR_Terminal_A
149026,3,LGA_Terminal_B
149027,3,LGA_Terminal_B
149028,0,EWR_Terminal_A
149029,3,LGA_Terminal_B
149030,3,LGA_Terminal_B
149031,4,LGA_Terminal_C
149032,3,LGA_Terminal_B
149033,4,LGA_Terminal_C
149034,0,EWR_Terminal_A
149035,0,EWR_Terminal_A
149036,0,EWR_Terminal_A
149037,3,LGA_Terminal_B
149038,0,EWR_Terminal_A
149039,3,LGA_Terminal_B
149040,0,EWR_Terminal_A
149041,3,LGA_Terminal_B
149042,3,LGA_Terminal_B
149043,3,LGA_Terminal_B
149044,3,LGA_Terminal_B
149045,3,LGA_Terminal_B
149046,3,LGA_Terminal_B
149047,0,EWR_Terminal_A
149048,0,EWR_Terminal_A
149049,0,EWR_Terminal_A
149050,4,LGA_Terminal_C
149051,4,LGA_Terminal_C
149052,4,LGA_Terminal_C
